"Director.Name","Birthday","Birthplace","Highest.Rated","Lowest.Rated","title","year","tomatometer","audience_score","box_office","credits","category","category01"
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","House of Fools","2002",41,82,57722,"Director,Writer,Producer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The Odyssey","1997",NA,60,NA,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Kurochka Ryaba (Assia and the Hen with the Golden Eggs) (Ryaba My Chicken)","1994",NA,NA,NA,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Kurochka Ryaba","1994",NA,NA,NA,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The Inner Circle","1991",50,78,544054,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Homer & Eddie","1989",NA,38,NA,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Tango & Cash","1989",31,52,61772769,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Shy People","1987",64,79,7435,"Director,Screenwriter","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Duet for One","1986",80,88,NA,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Runaway Train","1985",83,76,7223793,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Maria's Lovers","1984",43,60,NA,"Director,Writer,Original Music","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Siberiade","1979",NA,92,NA,"Director,Writer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","A Slave of Love","1976",NA,83,NA,"Screenwriter","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Romans o vlyublyonnykh","1974",NA,NA,NA,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The Worshipper","1973",NA,NA,NA,"Screenwriter","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Uncle Vanya","1971",NA,94,NA,"Director,Screenwriter","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Asya's Happiness","1967",NA,77,NA,"Director","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Andrei Rublev","1966",96,93,101396,"Writer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The First Teacher","1965",NA,NA,NA,"Director,Writer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Steamroller and the Violin","1960",91,83,NA,"Writer","Movie",1
"Andy Cheng","Not Available","Not Available","Delirium (2018)","Delirium (2018)","Delirium","2018",NA,36,NA,"Screenwriter","Movie",1
"Andy Cheng","Not Available","Not Available","Delirium (2018)","Delirium (2018)","Redline","2007",NA,47,6877133,"Director","Movie",1
"Andy Cheng","Not Available","Not Available","Delirium (2018)","Delirium (2018)","End Game","2006",NA,22,NA,"Director,Writer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Chickenhare and the Hamster of Darkness","2022",60,76,NA,"Director,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Chickenhare and the Hamster of Darkness","2022",NA,NA,NA,"Director,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Chickenhare and the Hamster of Darkness","2022",NA,NA,NA,"Director,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Bigfoot Family","2020",NA,34,NA,"Director,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","The Queen's Corgi","2019",NA,39,NA,"Director","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","The Son of Bigfoot","2017",75,43,NA,"Director,Cinematographer,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","The Son of Bigfoot","2017",NA,NA,NA,"Director","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","The Wild Life","2016",17,29,7965609,"Director,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Robinson Crusoe","2016",NA,14,NA,"Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Wild Cats","2015",NA,NA,NA,"Director,Writer,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","African Safari","2013",NA,NA,NA,"Director","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","The House of Magic","2013",73,54,NA,"Director,Screenwriter,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","The House of Magic","2013",NA,NA,NA,"Director,Screenwriter,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","The House of Magic","2013",NA,NA,NA,"Director,Screenwriter,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","The House of Magic","2013",NA,NA,NA,"Director,Screenwriter,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Sammy 2","2012",20,35,NA,"Director,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","A Turtle's Tale: Sammy's Adventures","2010",44,47,NA,"Director","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","A Turtle's Tale: Sammy's Adventures","2010",NA,NA,NA,"Director","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Fly Me to the Moon","2008",20,25,NA,"Director,Executive Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","African Adventure: Safari in the Okavango","2007",NA,57,NA,"Director,Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Wild Safari: A South African Adventure","2005",83,64,16621230,"Director","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Misadventures","2003",NA,NA,NA,"Director","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","S.O.S. Planet","2002",NA,NA,NA,"Director,Writer,Executive Producer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Haunted Castle","2001",25,47,13651656,"Director,Executive Producer,Writer,Film Editing","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Alien Adventure","2000",NA,NA,5017087,"Director,Writer,Executive Producer,Cinematographer","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Encounter in the Third Dimension","1998",73,64,7195401,"Executive Producer,Writer,Director","Movie",1
"Ben Stassen","Not Available","Aubel, Belgium","Wild Safari: A South African Adventure (2005)","The Queen's Corgi (2019)","Thrill Ride: The Science of Fun","1997",NA,58,18787300,"Director,Writer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Black Christmas","2006",14,38,16235293,"Executive Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Karate Dog","2004",NA,27,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","SuperBabies: Baby Geniuses 2","2004",NA,25,9109322,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Now & Forever","2001",18,81,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","I'll Remember April","2000",NA,61,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Catch a Falling Star","2000",NA,NA,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","The Dukes of Hazzard -- Hazzard in Hollywood","2000",NA,86,NA,"Writer,Executive Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Baby Geniuses","1999",2,25,27141959,"Director,Screenwriter","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","The Ransom of Red Chief","1998",NA,47,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","My Neighbor's Daughter","1997",NA,60,NA,"Town Mayor (Character)","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Stolen Memories: Secrets From the Rose Garden","1996",NA,NA,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Fudge-A-Mania","1995",NA,NA,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Derby","1995",NA,NA,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","It Runs in the Family","1994",NA,44,NA,"Director,Screenwriter","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","The American Clock","1993",NA,NA,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Popcorn","1991",38,41,3751629,"Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Loose Cannons","1990",NA,27,4463085,"Director,Screenwriter","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Amazing Stories: The Movie III","1990",NA,NA,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","From the Hip","1987",30,60,6990807,"Director,Screenwriter","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Turk 182!","1985",20,55,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Rhinestone","1984",19,36,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Porky's II: The Next Day","1983",10,40,NA,"Director,Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","A Christmas Story","1983",89,89,20730000,"Director,Writer,Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Porky's","1981",33,57,NA,"Director,Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Tribute","1980",NA,52,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Murder by Decree","1979",86,64,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","The Amazing Apes","1977",NA,NA,NA,"Director","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Breaking Point","1976",NA,42,NA,"Director,Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Moonrunners","1975",NA,57,NA,"Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Black Christmas","1974",70,76,NA,"Director,Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Deathdream","1974",80,65,NA,"Director,Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Children Shouldn't Play With Dead Things","1972",50,40,NA,"Director,Screenwriter,Producer","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","She-Man: A Story of Fixation","1967",NA,NA,NA,"Director,Screenwriter","Movie",1
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","Amazing Stories","1985-1985",NA,82,NA,"Director","TV Show",0
"Bob Clark","Aug 5, 1939","New Orleans, Louisiana, USA","A Christmas Story (1983)","Loose Cannons (1990)","The Dukes of Hazzard","1979-1979",NA,NA,NA,"Writer","TV Show",0
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Unstoppable","2004",NA,24,NA,"Producer","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Derailed","2002",NA,21,NA,"Director","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Panic","2001",NA,11,NA,"Director","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Shark Attack","1999",NA,23,NA,"Director","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","On the Border","1998",NA,10,NA,"Director","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Blood of the Innocent","1994",NA,NA,NA,"Director","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Point of Impact","1993",NA,30,NA,"Director","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Tombstone","1993",73,93,55873495,"Producer","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Blink of an Eye","1992",NA,56,NA,"Director","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Cover-Up","1991",NA,17,NA,"Executive Producer","Movie",1
"Bob Misiorowski","Not Available","Not Available","Tombstone (1993)","Derailed (2002)","Gnaw: Food of the Gods II","1989",NA,32,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","No Time to Spy: A Loud House Movie","2024",NA,84,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The Loud House Movie","2021",NA,63,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","To All the Boys I've Loved Before","2018",96,84,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Public Disturbance","2017",NA,25,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Behind the Curtain: Todrick Hall","2017",NA,NA,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Bigger Fatter Liar","2017",NA,26,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Before I Fall","2017",64,57,12230741,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","We Love You","2016",NA,39,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Shovel Buddies","2016",NA,38,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Dance Camp","2016",NA,62,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Janoskians: Untold and Untrue","2015",NA,86,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Snervous Tyler Oakley","2015",40,58,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","SMOSH: The Movie!","2015",NA,42,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Expelled","2014",NA,53,NA,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Terry the Tomboy","2014",NA,86,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The To Do List","2013",56,46,3447339,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Mindless Behavior: All Around The World","2013",NA,95,344500,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","A Thousand Words","2012",NA,46,18438149,"Director,Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Fred: The Movie","2010",NA,41,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Meet Dave","2008",20,35,11802056,"Director","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Wild Hogs","2007",14,61,168213584,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Norbit","2007",9,53,95323496,"Director,Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The Shaggy Dog","2006",26,39,61123569,"Director","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Dreamer: Inspired by a True Story","2005",64,78,32654700,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Coach Carter","2005",64,85,67253092,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The Perfect Score","2004",16,44,10387706,"Director,Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Radio","2003",35,79,52277485,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Big Fat Liar","2002",46,44,47811275,"Writer,Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Hardball","2001",41,70,40219708,"Director,Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Summer Catch","2001",8,41,19693891,"Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Ready to Rumble","2000",23,52,12372410,"Director","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Two Heads Are Better Than None","2000",NA,71,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Varsity Blues","1999",45,76,52894169,"Director,Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Good Burger","1997",33,63,23712451,"Director,Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Rap Show","1995",NA,NA,NA,"Director","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","The Show","1995",80,85,2297224,"Director,Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","Hank Aaron: Chasing the Dream","1995",NA,NA,NA,"Executive Producer","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","DaVinci's War","1993",NA,NA,NA,"Father Michael (Character)","Movie",1
"Brian Robbins","Nov 22, 1963","Brooklyn, New York, USA","To All the Boys I've Loved Before (2018)","A Thousand Words (2012)","C.H.U.D. II","1989",NA,23,NA,"Steve Williams (Character)","Movie",1
